Item;Descrição (Item);Subgrupo (Código);item que tem tipo 2;item 1 que esta em ped
1615K;FOZ STARS - BERM ELAST TOTAL - UNIVERSAL 1010 EBGE - CONF1;117;s;#N/D
1621F;MULTIPETRO - CALCA MEIO ELAST - UNIVERSAL 1244  AZ MARINHO - CONF1;101;s;#N/D
1622I;HOERLLE E ASSUMPCAO - CALCA MEIO ELAST - UNILESTER 2002 C - CONF1;101;s;#N/D
1635H;COMB. FT - CALCA MEIO ELAST - POLYCEDROBRIM SUPER 4617 VERDE;101;s;#N/D
1637J;MAREL - CALCA MEIO ELAST RETARD - UNIFORTE FR 1014 AZ RY - CONF1;109;s;#N/D
1646K;PREF TEUTONIA - ELAST TOTAL CORD LISA - UNILESTER POLI 2001 BC - CONF1;107;s;#N/D
1648J;BUSCHLE - CALCA MEIO ELAST RETAR CHAM CEDROTECH FR 8047 CZ - CONF1;108;s;#N/D
1652J-CTO;CONSERTO - LLC - CALCA ELAST TOTAL - SARJA LIDER 250GR 5280 AZ - CONF1;100;s;#N/D
1668I;ALTHERIA  - CALCA MEIO ELAST RETARD CEDROTECH 8047 CZ - CONF1;108;s;#N/D
1669J;CENCI - CALCA ELAST TOTAL C CORDAO - CEDROTECH 5228 AZ - CONF1;107;s;#N/D
1684K;POSTO ZOOLOGICO - CALCA SOCIAL FEM - UNILESTER 2050 CZ - CONF1;106;s;#N/D
1686J;PLASTRELA - CALCA ELAST TOTAL - CEDROTECH 8047 CINZA - CONF1;109;s;#N/D
1689E;CARRARO - CALCA  ELAST T C CORDAO RETARD CHAMAS CEDROTECH 5098 - CONF;109;s;#N/D
1703K;COSMA DO BRASIL - CALCA RETARD MEIO ELAST - CEDROTECH  FR 5228 - CONF1;109;s;#N/D
1705J;CONTITECH - CALCA ELAST TOTAL CORDAO - NYLON PARAQ 16 MAR - CONF1;107;s;#N/D
1706K;ROTENGE - CALCA ELAST TOTAL - SARJA 250GR 8260 CINZA - CONF1;100;s;#N/D
1717J;AKER SOLUTIONS  - CALCA  RETARD - CEDROTECH FR 1052 VERM - CONF1;109;s;#N/D
1721J-CTO;CONSERTO - NB MAQUINAS - CALCA MEIO EL RETAR - UNIFORTE FR 1014 AZ RY;109;s;#N/D
1728K;METASA - CALCA MEIO ELAST RETARD CH - CEDROTECH FR 5228 MARI - CONF1;108;s;#N/D
1731K;DOW BRASIL - CALCA MEIO ELAST FEM - CEDROBRIM  SUPER 8053 VD - CONF1;101;s;#N/D
1740F;MARINES - CALCA COS INTEIRO - TECHNO RIP STOP 723 CAQUI - CONF;102;s;#N/D
1742J;POSTO BERTOLINI - CALCA MEIO ELAST MASC - UNILESTER PLUS 2014 - CONF1;101;s;#N/D
1743J;BERTOLINI - CALCA FEMININA - UNILESTER 2014 AZ RY CONF 1;105;s;#N/D
1743K;FRASLE - CALCA MEIO ELAST - CEDROTECH FR 8047 CINZA - CONF1;109;s;#N/D
1746G;MUELLER - CALCA MEIO ELAST RETARD - CEDROTECH 8047 CINZA - CONF1;108;s;#N/D
1747J;POSTO PEROLA - CALCA PISTA FEMININA - UNMAX 5418 AZ CONF 1;105;s;#N/D
1761J;CHARRUA - CALCA MEIO ELAST- UNILESTER SOFT 2050 CZ MOD 4200XX;101;s;#N/D
1763I;BANDEIRANTE - CALCA GERENTE MASC - UNILESTER FIT 2050 CZA - CONF1;103;s;#N/D
1763J;TIROL - CALCA MEIO ELAST RESTARD - CEDROTECH 8047 CINZA - CONF1;109;s;#N/D
1771J;DASAN - CALCA  MEIO ELAST - CEDROTECH 8047 CINZA - CONF1;109;s;#N/D
1777G;VIBRA - CALCA ELAST TOTAL  RETARD - UNIFORTE FR 1014 AZ RY - CONF1;108;s;#N/D
1790J;SGS - CALCA ELAST TOTAL - UNIFORTE TRAT REP AG QUIM 1009 CINZA - CONF1;107;s;#N/D
1791J;SGS - CALCA ELAST TOTAL - MOD FEM - UNIFORTE TRAT QUI 1009 CZ - CONF1;107;s;#N/D
1802I;METALS - CALCA ELAST TOTAL -UNIVERSAL 1008 MARINHO - CONF1;100;s;#N/D
1814E;HP ENGENHARIA - CALCA ELAST TOTAL - CEDROPAC II 5228 Z MAR - CONF1;107;s;#N/D
1817G;REDE MONTEIROS - CALCA SOCIAL FEM - UNILESTER PLUS 2016 PRETO - CONF1;103;s;#N/D
1820J;ARCO GAS - CALCA MEIO ELAST- UNILESTER SOFT 2050 CZ  MOD 4201XX;101;s;#N/D
1829C;JORNADA MET - CALCA MEIO ELAST - SARJA LIDER 8260 CINZA - CONF1;101;s;#N/D
1836J;NEUGEBAUER - CALCA RETARD MEIO ELAST - UNIFORTE FR 10414 AZ RY - CONF1;109;s;#N/D
1856I;GRUPO SETUP - CALCA SOCIAL FEM - OXFORD PRETO - CONF1AA;106;s;#N/D
1859J;UNIMED- CALCA RETARD CHAMAS MEIO ELAST - UNIFORTE  FR 1009 CZ - CONF1;109;s;#N/D
1861J-CTO;CONSERTO - AGROGEN - CALCA ELAST TOTAL - CEDROTECH 8047 CINZA - CONF1;109;s;#N/D
1891E;ALTONA - CALCA COS MEIO ELA - UNIFORT 1021 CAQUI ESPEC - CONF1;101;s;#N/D
1898G;KISNER - CALCA ELAST TOTAL - UNITECH 5006 VERDE - CONF1;107;s;#N/D
1915J;TECMIDIAWEB - CALCA JEANS MASC - IGOR 10OZ AZUL - CONF1;104;s;#N/D
1925J;POSTO VILA - BERMUDA SOCIAL FEM - UNILESTER 2018 MARIN - CONF1;116;s;#N/D
1928H;EATON - CALCA ELAST TOTAL C CORDAO - UNIPACIFIC 1009 CZA - CONF1;107;s;#N/D
1928J;PORTOBELLO - CALCA MEIO ELAST CEDROTECH FR 5228 MARIN - CONF1;109;s;#N/D
1932D;ELETROMAIS - CALCA ANTI CHAMAS -CEDROTECH 5098 AZ RY - CONF1;109;s;#N/D
1947H;RANDON - CALCA ELAST TOTAL - MED ESP - UNIFORTE 1003 AZ CELES - CONF1;107;s;#N/D
1947J;FRIG NOVA ARACA - CALCA RETARD MEIO ELAST - UNISAFE SL 1009 CZ - CONF1;109;s;#N/D
1948J;SANMARTIN - CALCA MEIO ELAST RETARD - UNISAFE SLIM 1018 MARIN - CONF1;109;s;#N/D
1956H;CELESC - CALCA MEIO ELAST - CEDROTECH 8048 CINZA - CONF1AA;108;s;#N/D
1956I;ABAST FROHLICH - CALCA MEIO ELAST - UNITECH 5016 PRETO - CONF1;101;s;#N/D
1971J;PAESE - CALCA ELAST TOTAL - UNIFORTE 1016 PRETO - CONF1;100;s;#N/D
1983J;IGUATEMI - CALCA SOCIAL FEMININO - UNILESTER FIT 2018 MARIN - OCNF1;106;s;#N/D
1987B;NYCO - CALCA MEIO ELAST - UNIFORTE 1014 A ZRY - CONF1;101;s;#N/D
1988I;MICROJUNTAS - CALCA  RETARD CHAMAS MEIO ELAST - CEDROTECH 8047 - CONF1;109;s;#N/D
1996D;TER SAO CIRO - CALCA ELAST TOTAL - UNIFORTE 1014 AZ RY - CONF1;100;s;#N/D
1997J;IRMAOS - CALCA RETARD MEIO ELAST - CEDROTCH FR 8047 CINZA - CONF1;108;s;#N/D
2001M;UNIMED - CAMISA ML RETARD CHAMAS - UNIFORTE FR 1009 CINZA - CONF1;208;s;#N/D
2007M;MS - CAMISA SOCIAL MASC MC - UNICOMFORT 6223 VD - CONF1;203;s;#N/D
2009L;SHOPING CAR - CAMISETE OPER MC - SPAGUETI 004-9127 CZ - CONF1;204;s;#N/D
2010L;SHOPING CAR - CAMISETE OPER ML - SPAGUETI 004-9127 CZ - CONF1;204;s;#N/D
2011G;ALIBEM - CAMISA ML RETARD CHAMAS - UNISAFE SLIM FR 1014 AZ - CONF;209;s;#N/D
2018D;ALE - CAMISA SOCIAL OPER MC - CEDROFIL 5322  AZUL CLARO - CONF;203;s;#N/D
2032G;ENGEPAN - CAMISA ML RETARD CHAMAS UNIFORTE FR CZ REF VD - CONF;208;s;#N/D
2033H;PREF DE CAXIAS - CAMISA ML RETARD UNISAFE 1009 CINZA - CONF;208;s;#N/D
2057H;SPONCHIADO - CAMISA GOLA POLO MC - PROFIT MIX 063-920 CINZA - CONF1;201;s;#N/D
2060G;CENCI - CAMISA OPER ML - UNILEVE 1009 CINZA - CONF;203;s;#N/D
2068M;COTRISUL - CAMISA RETARD CHAMAS ML - CEDROTECH 8047 CZ - CONF1;209;s;#N/D
2071K;SANEP - CAMISA ML CEDROTECH C REFL - 8047 CINZA - CONF1;208;s;#N/D
2075M;SAO CARLOS AR COND - CAMISA ML RETARD - CEDROTECH FR 8059  BE - CONF1;208;s;#N/D
2082E;HP ENGENHARIA - CAMISETE SOCIAL OPER ML - JEANS COLIN 5,4OZ  - CONF1;204;s;#N/D
2098K;POSTO DUTRA - CAMISA SOCIAL OPER  MC - UNISTILL SOFT 6147 VERM - CONF1;203;s;#N/D
2113H;AGRA - CAMISA ML RETARD CHAMAS - CEDROTECH FR 5098  AZ RY - CONF1;209;s;#N/D
2119G;COSMA DO BRASIL - CAMISA RETARD ML - CEDROTECH FR 5228 AZ MARI - CONF1;209;s;#N/D
2128M;SANMARTIN - CAMISA RETARD CHAMAS ML - UNISAFE SLIM 1018 MAR - CONF1;209;s;#N/D
2140M;IGUATEMI - CAMISETE OPER MC - UNIOFFICE 3020 MARINHO - CONF1;204;s;#N/D
2160L;PETROBRAS - CAMISA GER PISTA REF MASC MC -UNICOMFORT 6223 VD - CONF1;203;s;#N/D
2161L;PETROBRAS - CAMISA GER PISTA MASC REF ML - UNICOMFORT 6223 VD- CONF1;203;s;#N/D
2173B;POSTO GALO - CAMISA GOLA POLO MC - UNILEVE 1009 - CONF;201;s;#N/D
2173K;POSTO PIRATININGA - CAMISETE SOCIAL OPER MC - UNIOFFICE 3004AZ - CONF1;204;s;#N/D
2174L;PETROBRAS - CAMISA LUBRAX MASC REF MC - UNICOMFORT 6222 VD - CONF1;203;s;#N/D
2182M;TERMOLAR - CAMISETE OPER ML - JEANS BAGUTA 4,5OZ - CONF1;204;s;#N/D
2193G;TODESCHINI - CAMISA RETARD ML BRIGADSITA - CEDROTECH 5098 AZ RY - CONF;209;s;#N/D
2194H;SCHNEIDER - CAMISA ML RETARD - UNISAFE 1009 CINZA - CONF;208;s;#N/D
2208I;MAGIUS - CAMISA OPER MC - UNIOFFICE CAMISARIA 3020 MARINHO - CONF1;203;s;#N/D
2214G;NUTRIMETAL - CAMISA ML RETARD - UNISAFE 1021 CAQUI - CONF;208;s;#N/D
2223E;COASUL -  CAMISA RETARD CHAMAS COM REF - CEDROTECH 5098 AZ - CONF;208;s;#N/D
2223M;DIGIPLAN -  CAMISA RETARD CHAMAS ML - CEDROTECH 8047 CINZA - CONF1;209;s;#N/D
2232M;RODAROS - CAMISA RETARD CHAMAS ML - CEDROTECH 4620 MUSGO - CONF1;209;s;#N/D
2234G;FRUKI - CAMISA ML RETARD-  UNISAFE 1014 AZ RY - CONF;208;s;#N/D
2235M;CBC  - CAMISA RETARD CHAMAS ML - CEDROTECHFR 5098 AZ RY - CONF1;209;s;#N/D
2236M;RIO GRANDE - CAMISA POLO MC - UNISOFT 1043 VERDE - CONF1;201;s;#N/D
2243M;ALIBEM - CAMISA GOLA POLO ML - UNILESTER SOFT 2001 BRANCO - CONF1AA;201;s;#N/D
2244L;MUNDIAL - CAMISA ML RETARD CHAMAS - UNISAFE SLIM 1009 CONF1;208;s;#N/D
2244M;ALIBEM - CAMISA GOLA POLO MC - UNILESTER SOFT 2001 BRANCO - CONF1AA;201;s;#N/D
2250J;SHOPPING CAR -  CAMISA OPER ML - UNIOFFICE CAM 3014 - CONF1;203;s;#N/D
2265G;RECIFER - CAMISA RETARD ML - UNIFORTE FR 1009 CINZA - CONF;209;s;#N/D
2273M;MASCOR - CAMISA GOLA ITALIANA MC - UNIQUALITY 1007 VERDE - CONF1;202;s;#N/D
2279G;MARINES - CAMISA ABERTA ML - TECHNO RIP STOP 723 CAQUI - CONF;200;s;#N/D
2286C;ALE - CAMISA SOCIAL OPER ML - UNISTIL SOFT 6136 AZ CLARO - CONF;203;s;#N/D
2291C;BUFFON - CAMISA OPER ML - UNIOFFICE 3004 AZUL - CONF;203;s;#N/D
2303J;STATUS RIO - CAMISA OPER  MC - CEDROFIL 002 BRANC - CONF1;203;s;#N/D
2306M;TECNOVIN - CAMISA RETARD CHAMAS ML - CEDROTECH FR 5098 AZ RY - CONF1;33;s;#N/D
2311H;REDE MONTEIROS - CAMISETE OPER MC - UNISTILL SOFT 6114 AZ - CONF;204;s;#N/D
2316M;IRMAOS CIOCCARI - CAMISA RETARD ML - CEDROTECH  FR 8047 CZ - CONF1;209;s;#N/D
2356M;SKIPPER - CAMISETE SOCIAL OPER  MC - UNIOFFICE 3020 MARINHO - CONF1;204;s;#N/D
2357M;COAMO - CAMISA RETARD ML - MED ESP - CEDROTECG FR 5098 AZ RY - CONF1;209;s;#N/D
2361J;DOW BRASIL - CAMISA RETARD CHAMAS ML - CEDROTECH FR 5098 AZ - CONF1;209;s;#N/D
2362H;CAMISA OPER ML - UNISTILL SOFT 6147 - CONF1;203;s;#N/D
2363M;FRANKLIN - CAMISA RETARD CHAMAS ML - UNIFORTE FR 1018 AZ - CONF1;209;s;#N/D
2369L;R E M INSTALACOES - CAMISA RETARD ML - UNIFORTE FR 1414 AZ RY - CONF1;209;s;#N/D
2381M;WEG - CAMISA RETARD CHAMAS ML - CEDROTECH FR 8047 CINZA - CONF1;209;s;#N/D
2386K;POSTO PETROBRASILIA - CAMISETE OPER ML - SKI WORK H03 GELO - CONF1;204;s;#N/D
2389A;XALINGO - CAMISA ABERTA MC - UNILEVE 1009 - CONF;200;s;#N/D
2391M;ARARA FLUMINENSE - CAMISA SOCIAL MC - UNISTILL SOFT 6147 VERM - CONF1;203;s;#N/D
2392M;ARARA FLUMINENSE - CAMISA SOCIAL MC - CEDROFILL 002 BRANCO - CONF1;203;s;#N/D
2394F;COMB APOLLO - CAMISA ABERTA MC - UNILEVE 1013 VERM - CONF1;200;s;#N/D
2394M;NB - CAMISA RETAR METAL LIQUIDO ML - UNIPOWER 1018 MARINHO - CONF1;250;s;#N/D
2404L;CAMISETE OPER FEM ML - UINOFFICE 3007 LARANJA - CONF1;204;s;#N/D
2405L;CAMISETE OPER FEM ML - UINOFFICE 3008 BORDO - CONF1;204;s;#N/D
2427I;REDE OLA - CAMISETE SOC OPER MC - UNISTILL SOFT 6147 VERM - CONF1;204;s;#N/D
2428I;REDE OLA - CAMISA SOC OPER MC - CEDROFIL 002 BRANCO - CONF1;203;s;#N/D
2435L;FECOAGORO - CAMISA RETARD CHAMAS ML - UNIFORTE FR 1009 CINZA - CONF1;209;s;#N/D
2436M;TECMESTEEL - CAMISETE OPER 3-4 - CEDROFIL 5228 MARINHO - CONF1;204;s;#N/D
2437I;REDE OLA - CAMISA SOCIAL OPER MC - UNIOFFICE CON 3001 BCO - CONF1;203;s;#N/D
2448H;MEPLA - CAMISA RETARD  ML  - UNISAFE 1009 CINZA - CONF;209;s;#N/D
2449E;MEGA WATTS - CAMISA RETARD CHAMAS ML - CEDROTECH 5228 AZ MAR - CONF;209;s;#N/D
2451I;ABAST ROTA 470 - CAMISETE OPER ML - UNISTILL SOFT 6147 VERMELH - CONF1;204;s;#N/D
2454K;LENZ - CAMISA RETARD CHAMAS ML - CEDROTECH 8047 CINZA - CONF1;209;s;#N/D
2458H;VIVER COM - CAMISA SOCIAL OPER MASC MC - UNISTILL 6147 VERM - CONF;203;s;#N/D
2459K;CONSALTER - CAMISA SOCIAL OPER ML - TRICOLINE IBIZA BRANCO - CONF1;203;s;#N/D
2462G;ALE - CAMISETE OPER 3-4 - CEDROFIL 5413 AZ  CLARO - CONF1;204;s;#N/D
2484K;METALS - CAMISA ABERTA ML -  UNILEVE 1008 MARINHO - CONF1;200;s;#N/D
2485M;MASCARELLO  - CAMISA OPER MC - MED ESP - UNIOFFICE 3004 AZUL  - CONF1;203;s;#N/D
2487M;MARCELO - CAMISETE OPER ML - CEDROFIL 001 PRETO - CONF1;204;s;#N/D
2488K;DANFOSS - CAMISA RETARD CHAMAS ML - CEDROTECH FR 8047 CZ - CONF1;209;s;#N/D
2491M;POSTO G3 - CAMISA OPER MC - CEDROFIL 5322 AZUL  - CONF1;203;s;#N/D
2492H;TRANSP ARCO GAS - CAMISA ABERTA POLO ML - POLYCEDROLEVE 5098;201;s;#N/D
2493H;MUELLER - CAMISA ML RETARD - CEDROTECH 8047 CINZA - CONF1;208;s;#N/D
2499M;CATTALINI - CAMISA ADM MASC ML - MED ESP - DOPFIL 1222 MARINHO - CONF1;205;s;#N/D
2526M;PETROTAVARES - CAMISETE OPER FEM  MC - UNIOFFICE 3002 CINZA - CONF1;204;s;#N/D
2528L;INCOFIOS - CAMISA RETARD CHAMAS ML - CEROTECH FR 8047 CZ - CONF1;209;s;#N/D
2528M;POSTO PETROTAVARES - CAMISA OPER MC - UNIOFFICE 3002 CINZA - CONF1;203;s;#N/D
2529G;FRANCOMANIA - CAMISETE OPER MC - UNIOFFICE 3004 AZ CELESTE - CONF;204;s;#N/D
2530G;FRANCOMANIA - CAMISA OPER MC - UNIOFFICE 3004 AZ - CONF;203;s;#N/D
2540J;FRAS LE - CAMISA SOCIAL OPER MC ESPEC - DOPFIL 9115 CINZA - CONF1AA;203;s;#N/D
2545M;PHILIP MORRIS - CAMISETE OPER ML - UNIOFFICE 3004 AZ - CONF1;204;s;#N/D
2546M;TURBO DIESEL - CAMISA SOCIAL OPER MC - UNISTILL SOFT 6147 VERM - CONF1;203;s;#N/D
2548M;PHILIP MORRIS - CAMISETE ADM ML - BARCELONA 004-1428 AZ - CONF1;206;s;#N/D
2549M;SINDUS - CAMISA ADM ML - TRICOLINE  CANNES 003-01 BRANCO - CONF1;205;s;#N/D
2550M;POSTO G3 - CAMISETE OPER MC - CEDROFIL 5322 AZUL - CONF1;204;s;#N/D
2554H;IPIRANGA JET OIL - CAMISA OPER ML - TECHNOPOLO FIT AZ MARI - CONF;203;s;#N/D
2554M;CATTALINI - CAMISETE ADM ML - MED ESP - DOPFIL 1222  MARINHO - CONF1;206;s;#N/D
2557L;HELEVAR - CAMISA RETARD CHAMAS ML - CEDROTECH 5098 AZ RY - CONF1;209;s;#N/D
2579C;CARRARO - CAMISA RETARD CHAMAS - CEDROTECH 5098 AZ RY - CONF;209;s;#N/D
2580L;GSI - CAMISA RETARD CHAMAS ML - UNIFORTE FR 1009 CINZA - CONF1;209;s;#N/D
2589K;MICROJUNTAS -  CAMISA RETARD CHAMAS ML - CEDROTECH 8047 CZ - CONF1;209;s;#N/D
2596M;SINDUS - CAMISETE ADM ML - TRICOLINE CANNES 003-01 BRANCO - CONF1;206;s;#N/D
2597M;KURITA - CAMISA RETARD CHAMAS ML - UNIFORTE FR 1018 MARIN - CONF1;209;s;#N/D
2598J;PACHECAO - CAMISA ABERTA ML - UNILIGHT 5009 CINZA - CONF1;200;s;#N/D
2602K;VIBRA - CAMISA ML RETARD CHAMAS - UNIFORTE FR 1014 AZ RY - CONF1;208;s;#N/D
2607M;XALINGO - CAMISA ABERTA  ML - SARJA 250GR 5280 AZ RY - CONF1;200;s;#N/D
2608M;XALINGO - CAMISA ABERTA  MC - SARJA 250GR 5280 AZ RY - CONF1;200;s;#N/D
2611G;CAMISA SOCIAL MASC MC - CEDROFILL 001 PRETO - CONF;203;s;#N/D
2624M;SOMA - CAMISA RETARD CHAMAS ML - UNIFORTE FR 1009 CZ - CONF1;209;s;#N/D
2627L;MAX - CAMISA ML RETARD - CEDROTECH 5098 AZ RY- CONF1;208;s;#N/D
2636J;ALL4LABELS - CAMISA ML RETARD -  UNISAFE SLIM 1018 MAR - CONF1;208;s;#N/D
2649M;SINDUS - CAMISA OPER ML - POLYCEDROBRIM 5228 MARINHO - CONF1;203;s;#N/D
2651M;SINDUS - CAMISA ADM ML - DOPFIL 001-1230 AZ RY - CONF1;205;s;#N/D
2654M;MILL SERRAS - CAMISA GOLA POLO ML - UNISOFT 1009 CINZA - CONF1;201;s;#N/D
2655M;POLO FILMS - CAMISA ADM MASC ML - UNIOFFICE 3013 VERDE - CONF1;205;s;#N/D
2658M;MS COM - CAMISA OPER MC - CEDROFIL 0002 BRANCO - CONF1;203;s;#N/D
2660M;MS COM - CAMISETE OPER MC - CEDROFIL 0002 BRANCO - CONF1;203;s;#N/D
2661M;LINEAR - CAMISA RETARD CHAMAS ML - CEDROTECH FR 8047 CZ - CONF1;209;s;#N/D
2666M;IRMAOS CIOCCARI - CAMISA RETARD ML - CEDROTECH FR 5098 AZ RY - CONF1;209;s;#N/D
2667M;REDE DIGOS - CAMISA OPER ML - CEDROFIL 0002 BRANCO- CONF1;203;s;#N/D
2668M;POSTO FLORENSE -  CAMISETE OPER FEM MC -  CEDROFIL 0002 BRANCO - CONF1;204;s;#N/D
2671M;ELERA - CAMISA OPER ML - UNIOFFICE 3003 AZUL - CONF1;203;s;#N/D
2672M;SETUP - CAMISA ABERTA ML - UNIFORTE 1009 CINZA - CONF1;200;s;#N/D
2679K;RANDON IMP - CAMISETE OPER ML - DOPFIL 004-9115  CINZA - CONF1;204;s;#N/D
2691L;MAREL - CAMISA RETARD CHAMAS ML - UNIFORTE FR 1014 AZ RY - CONF1;209;s;#N/D
2699I;TEVERE - CAMISA ML RETARD CHAMAS - CEDDROTECH FR 5228 -  CONF1;208;s;#N/D
2708M;SPRINGER - CAMISA OPER ML - PROFIT 001-1240 PROVENCE - CONF1;203;s;#N/D
2719L;ELETROPOLAR - CAMISA ML RETARD CHAMAS UNISAFE SLIM 1014 AZ RY - CONF1;208;s;#N/D
2722G;CERAMICA ELIZABETH - CAMISA ML RETARD - CEDROTECH 5098 AZ RY - CONF;208;s;#N/D
2736L;CENCI - CAMISA RETARD CHAMAS ML - CEDROTECH5228 AZ - CONF1;209;s;#N/D
2745M;REDE HG - CAMISA OPER ML - UNISTILL SOFT 6101 BCO - CONF1;203;s;#N/D
2746L;ARARA AZUL - CAMISA SOCIAL MC - CEDROFILL 002 BRANCO - CONF1;203;s;#N/D
2756J;RAROZ - CAMISA RETARD CHAMAS ML - CEDROTECH 8047 CINZA - CONF1;209;s;#N/D
2756L;PLASTRELA - CAMISA RETARD CHAMAS ML - CEDROTECH 8047 CZ - CONF1;209;s;#N/D
2756M;WORLEY - CAMISA ML RETARD - CEDROTECH 2063 LARANJA - CONF1;208;s;#N/D
2766K;REDE OLA - CAMISETE SOC OPER MC - CEDROFIL 002 BCO - CONF1;204;s;#N/D
2773K;WAISSBURG - CAMISA ML RETARD CHAMAS - CEDROTECH FR 5228MARIN - CONF1;208;s;#N/D
2810J;YARA - CAMISETE ADM MC - TRICOLINE IBIZA 003-601 BRANCO - CONF1;206;s;#N/D
2815L;AKER SOLUTIONS - CAMISA OPER ML RETAR - CEDROTECH FR 1052 VERM - CONF1;209;s;#N/D
2830E;TECNOVIN - CAMISA ANTI CHAMAS - CEDROTECH 5098 - CONF;209;s;#N/D
2843F;ALIBEM - CAMISA GOLA POLO ML - UNIFIT 5014 AZ RY - CONF;201;s;#N/D
2846M;POSTO ZOOLOGICO - CAMISA OPER MC - CEDROFIL 002 BRANCO - CONF1;203;s;#N/D
2849J;AKER SOLUTIONS - CAMISA OPER MC - UNLIGHT 5013 VERM - CONF1;203;s;#N/D
2849M;POSTO ZOOLOGICO - CAMISA OPER MC - UNISTILL SOFT 6147 VERM - CONF1;203;s;#N/D
2864J;SOPRANO - CAMISA RETARD CHAMAS ML - CEROTECH FR 8047  CZ - CONF1;209;s;#N/D
2867G;MINUANO - CAMISA RETARD ML - UNIFORTE FR CA 1014 AZ RY - CONF;209;s;#N/D
2868L;POSTO BERTOLINI - CAMISA FEM MC - UNICOMFORT FLEX 6139 AZUL - CONF1;201;s;#N/D
2871J;NELSON - CAMISA RETARD CHAMAS ML - UNIFORTE FR 1014 AZ RY - CONF1;209;s;#N/D
2875M;SOUZA ROSA - CAMISA SOCIAL OPER MC - UNISTILL SOFT 6147VERM - CONF1;203;s;#N/D
2879M;AOSB - CAMISETE OPER ML - DOPFIL 004-1230 ROYAL - CONF1;204;s;#N/D
2880M;AOSB - CAMISA OPER ML - DOPFIL 004-1230 AZUL ROYAL - CONF1;203;s;#N/D
2885J;POSTO COM FIT - CAMISA SOCIAL OPER MC - UNIFILL 6509 CINZA - CONF1;203;s;#N/D
2886M;METASA - CAMISA ML RETARD CHAMAS - CEDROTECH FR 5228 MARI - CONF1;208;s;#N/D
2887L;TIROL - CAMISA RETARD CHAMAS ML - CEDROTECH 8047 CINZA - CONF1;209;s;#N/D
2892M;SOUZA ROSA - CAMISETE SOCIAL OPER MC - UNISTILL SOFT 6147VERM - CONF1;204;s;#N/D
2896M;FREMAX - CAMISA RETARD CHAMAS ML - CEDROTECH FR 8047 CZ - CONF1;209;s;#N/D
2897M;FREMAX - CAMISA RETARD CHAMAS ML - CEDROTECH FR 8047  CZ - CONF1;209;s;#N/D
2904H;MAXIPLAST - CAMISA RETARD CHAMAS ML -  CEDROTECH FR 8047 CZ - CONF1;209;s;#N/D
2905H;MAXIPLAST - CAMISA RETARD CHAMAS ML -  CEDROTECH FR 8047 CINZA - CONF1;209;s;#N/D
2906H;MAXIPLAST - CAMISA RETARD CHAMAS ML -  CEDROTECH FR 8047 CINZA - CONF1;209;s;#N/D
2914E;CENTRAL COMBUSTIVEIS - CAMISA OPER MC - CEDROFIL 1104 VERM - CONF;203;s;#N/D
2915D;HP ENGENHARIA - CAMISA ABERTA ML - CEDROLEVE SUPER 5228 MARI- CONF1;200;s;#N/D
2918L;PETROBRAS - CAMISETE GER BR MANIA ML - UNICOMFORT 6223 VD - CONF1;204;s;#N/D
2918M;WHIRLPOOL - CAMISA POLO ML RETAR CHAMAS - CEDROTECH 1052 VERM - CONF1;209;s;#N/D
2921M;POSTO QUALITY - CAMISA MASC ML - UNICOMFORT 6223 VD - CONF1;203;s;#N/D
2922M;AURA ALMAS - CAMISA SOCIAL ADM ML - UNISOFT 1244 MARINHO - CONF1;200;s;#N/D
2923M;AURA ALMAS - CAMISETE SOCIAL ADM ML - UNISOFT 1244 MARINHO - CONF1;206;s;#N/D
2925M;PEDRO LESSA - CAMISA OPER MC - PROFIT 001-21 PRETO - CONF1;203;s;#N/D
2927M;PEDRO LESSA - CAMISA SOCIAL OPER MC - UNISTILL SOFT 6147 VERM - CONF1;203;s;#N/D
2928D;ELETROMAIS - CAMISA ANTICHAMAS - CEDROTECH  5098 AZ RY  - CONF1;209;s;#N/D
2929F;CARRARO - CAMISA RETARD CHAMAS - UNIFORTE FR 1014 AZ RY - CONF;209;s;#N/D
2931L;CAMIL - CAMISA RETARD CHAMAS ML - MOD 1 - CEDROTECH FR 8047 CZ - CONF1;209;s;#N/D
2935L;4 ILHAS  - CAMISA OPER MC - TRICOLINE CANNES 003-01 BRANCO - CONF1;203;s;#N/D
2940L;STARSOL - CAMISA OPER ML TRICOLINE CANNES 001-1230 COBALTO CONF1;203;s;#N/D
2941L;STARSOL - CAMISETE OPER ML TRICOLINE CANNES 001-1230 COBALTO CONF1;204;s;#N/D
2951H;TORRECID - CAMISA RETARD CM  ML -  CEDROTECH  FR 5228 AZ MAR - CONF1;209;s;#N/D
2977A;COMB SILVEIRA - CAMISETA POLO MC - PIQUET PA 090 VERDE - CONF1;602;s;#N/D
2977J;ALIBEM - CAMISA ML RETARD - CEDROTECH FR 5098 AZ RY - CONF1;209;s;#N/D
2982I;CAMISETE OPER ML - CEDROFI 002 BCO - CONF1;203;s;#N/D
2985L;NEUGEBAUER - CAMISA RETARD CHAMAS ML - UNIFORTE FR 1009 CZ - CONF1;209;s;#N/D
2996I;KEPLER - CAMISA GOLA POLO ML - UNILEVE 1013 VERM - CONF1;201;s;#N/D
