Item;Descrição (Item);Subgrupo (Código);item que tem tipo 2;item 1 que esta em ped
00547ZZ;SINDUS - CALCA RETARD CHAMAS MEIO ELAST - CEDROTECH FR 5228 - CONF1;109;s;#N/D
00548ZZ;SINDUS -  CAMISA OPER MASC MC - CEDROMIX 5 OZ 5437 AZUL;203;s;#N/D
00549ZZ;SINDUS - CAMISA OPER ML - CEDROMIX 5 OZ 5437 AZUL;203;s;#N/D
00550ZZ;SINDUS - CAMISA RETARD CHAMAS ML - CEDROTECH FR 5228 AZ - CONF1;209;s;#N/D
00551ZZ;SINDUS - CAMISA SOCIAL OPER ML - JEANS CAMIS COLIN AZ  VICUNHA;203;s;#N/D
00552ZZ;SINDUS -  CAMISETA GOLA POLO MC - PIQUET PA 130 MARINHO;602;s;#N/D
00554ZZ;CAMISETA POLO MC -  PIQUET PA 001 BCO;602;s;#N/D
00555ZZ;BABY LOOK GOLA POLO MC -  001 BCO;602;s;#N/D
00560ZZ;CATTALINI CALCA JEANS ELAST TOT OPER  -  UNIFORTE 1016 PRETO;100;s;#N/D
00567ZZ;ARCO GAS - CALCA COS MEIO ELAST - POLYCEDROBRIM SUPER 8047 CZ;101;s;#N/D
00568ZZ;ALTONA - CALCA MEIO ELAST - UNIVERSAL 1244 MARINHO;101;s;#N/D
00571ZZ;ANDRADE GUTIERREZ - CAMISETE OPER ML - UNIOFFICE CAM 3017 AZUL - CONF1;204;s;#N/D
00575ZZ;ARCO GAS - CAMISETA POLO MC - PIQUET PA 093 AZ RY - CONF;602;s;#N/D
00581ZZ;ANDRADE GUTIERREZ - CALCA  JEANS MASC - JEANS IGOR;104;s;#N/D
00582ZZ;ANDRADE GUTIERREZ - CALCA  JEANS FEM - JEANS IGOR;104;s;#N/D
00615ZZ;CORTEVA - CALCA MEIO ELAST FEM - POLYCEDROLEVE 8047 CZ - AA;101;s;#N/D
00617ZZ;CORTEVA -  CAMISETA GOLA RED ML - ALG 30-1CARD 027 TURQUESA - CONF1AA;600;s;#N/D
00627ZZ;CORTEVA -  CAMISETA GOLA RED MC - POLIVIS 041 LARANJA - CONF1AA;600;s;#N/D
00628ZZ;CALCA CENCI UNF ELAST TOTAL C CORDAO SARJA 250GM 5280 AZ RY MOD 107.00;107;s;#N/D
00630ZZ;CORTEVA -  CAMISETA GOLA RED ML - POLIVIS 041 LARANJA - CONF1A;600;s;#N/D
00634ZZ;CORTEVA - CALCA ELAST TOTAL - CAMPO - DOPTEL 001-9118 STORM - CONF1;100;s;#N/D
00635ZZ;MACACAO ML RETARD CH - CEDROTECH 2063 LARANJA - CA 45342;400;s;#N/D
00636ZZ;MACACAO ML RETARD CH - UNIFORTE FR 1232 LARANJA - CA 36409;400;s;#N/D
00639ZZ;CAMISA RETART CHAMAS CEDROTECH  FR  AZUL ROYAL COM FITA CA 31059;208;s;#N/D
00640ZZ;STAHL -  MACACAO RETARD ML - CEDROTECH  FR 5228 MARINHO - CONF1AA;408;s;#N/D
00643ZZ;CATTALINI -  PARKA FEM - NYLON PARAQ 16 MARINHO - CONF1;501;s;#N/D
00644ZZ;CATTALINI -  PARKA - NYLON PARAQ 16 MARINHO - CONF1;501;s;#N/D
00648ZZ;ESTRUTURAL - MACACAO ML RF RETARD - UNIFORTE FR 1232 LARANJA - CONF1;409;s;#N/D
00680ZZ;RIO GRANDE - CALCA ELAST TOTAL C CORDAO - SARJA 202GR 8260 CZ - CONF1;107;s;#N/D
00681ZZ;RIO GRANDE - CAMISA POLO MC - SARJA 202GR 8260 CZA - CONF1;201;s;#N/D
00682ZZ;RIO GRANDE - JALECO ML - SARJA 202GR 8260 CINZA - CONF1;300;s;#N/D
1009J;RANDON - CALCA ELAST TOTAL - MED ESP - UNIFORTE 1003 AZ CEL - CONF1;107;s;#N/D
1019I;ALIBEM - CALCA ELAST TOTAL - UNILESTER SOFT 1001 BRANCO - CONF1;107;s;#N/D
1019J;MUNDIAL - CALCA COS INTEIRO FEM - CEDRO RIP STOP 2016 PRTO - CONF1;102;s;#N/D
1025H;AGUIA SISTEMAS - CALCA MEIO ELASTICO - CEDROPAC II 5228 AZ MAR - CONF1;101;s;#N/D
1029K;DIGIPLAN - CALCA ELAST TOTAL RETARD - CEDROTECH GR 8047 CZ -  CONF1;109;s;#N/D
1030K;ALTONA - CALCA COS MEIO ELAST - UNIVERSAL 1021 CAQUI - CONF1;101;s;#N/D
1032J;HOSP GERAL - CALCA  RETARD MEIO ELAST CEDROTECH 8047 CINZA - CONF1;109;s;#N/D
1040K;RRC - CALCA ELAST TOTAL - SARJA LIDER 250GR 8260 CINZA - CONF1;100;s;#N/D
1041K;CBC - CALCA MEIO ELAST RETARD - CEDROTECH FR 5098 AZ RY - CONF1;109;s;#N/D
1042K;THUEDI - CALCA MEIO ELAST - UNILESTER 2002 CINZA - CONF1;101;s;#N/D
1044K;AGRO PERTENCES - CALCA ELAST TOTAL - MED ESP -SARJA 250GR 8260 - CONF1;107;s;#N/D
1047K;ALIBEM - CALCA TERMICA ELASTICO - UNILESTER 2001 BRANCO - CONF1;107;s;#N/D
1058H;VIVIANA ALIMENTOS - CALCA ELAST/T RET - CEDROTECH FR 8048 CZ - CONF1;108;s;#N/D
1062K;SINERGIA - CALCA MEIO ELAST - SARJA 250GR 8260 CINZA - CONF1;101;s;#N/D
1071K;SESI SP - CALCA  MOD JEANS MASC - UNIVERSAL 1244 AZ MAR - CONF1;104;s;#N/D
1072K;L E A INDUSTIRA - CALCA ELAST TOTAL - UNIFORTE 1001 BRANCO - CONF1;107;s;#N/D
1073H;MAXIPLAST- CALCA RETARD CH  MEIO ELAST -  CEDROTECH FR 8047 CZ - CONF1;109;s;#N/D
1074H;MAXIPLAST- CALCA RETARD CH  MEIO ELAST -  CEDROTECH FR 8047 CZ - CONF1;109;s;#N/D
1075H;MAXIPLAST- CALCA RETARD CH  MEIO ELAST -  CEDROTECH 8047 CZ - CONF1;109;s;#N/D
1079J;WHIRPOOL - CALCA MEIO ELAST - MED ESP -UNISAFE SLIM 1014 AZ RY - CONF1;109;s;#N/D
1082H;CASAN - CALCA MEIO ELAST - CEDROPAC 4360 VERDE - CONF1;101;s;#N/D
1082ZZ;BR MANIA - JAQUETA MASC - SEM FIBRA - CONF;500;s;#N/D
1083I;DOW BRASIL- CALCA RETARD CHAMAS MEIO ELAST - CEDROTECH FR 5098 - CONF1;109;s;#N/D
1089J;COTRISUL - CALCA MEIO ELAST RETARD - CEDROTECH 8047 CINZA - CONF1;109;s;#N/D
1098K;TECNOVIN - CALCA ELAST TOTAL - CEDROTECH FR 5098 AZ RY - CONF1;109;s;#N/D
1105G;POSTO MARINHO - CALCA SOCIAL MASC - UNILESTER PLUS 2018 AZ - CONF;103;s;#N/D
1106K;VIEMAR - CALCA ELAST TOTAL  - SARJA 202GR 8260 CINZA - CONF1;107;s;#N/D
1109H;TORRECID - CALCA RETARD CH  ELAST T -  CEDROTECH 5228 AZ MR - CONF1;109;s;#N/D
