C2400L.0004;DELOITTE - CAMISETE OPER ML - UNIOFFICE 3004 AZ CLARO - M;C2400L;PC;INDUSTRIA - UNIFORMES;CAMISETE OPER MC/ML 204;99;DIVERSOS;CAMISA/CAMISETE OPER E ADM;MODELO CONFIGURADO CLIENTE;M;ITENS POR PEDIDO;;C2400L;62052000;0;9;21;25/07/2023
C2400L.0005;DELOITTE - CAMISETE OPER ML - UNIOFFICE 3004 AZ CLARO - P;C2400L;PC;INDUSTRIA - UNIFORMES;CAMISETE OPER MC/ML 204;99;DIVERSOS;CAMISA/CAMISETE OPER E ADM;MODELO CONFIGURADO CLIENTE;P;ITENS POR PEDIDO;;C2400L;62052000;0;9;21;25/07/2023
C3993H.0003;DASS - JALECO MC - DOPTEL E9265 CINZA - AA - P;C3993H;PC;INDUSTRIA - UNIFORMES;JALECO MC/ ML 300;99;INDUSTRIA AA;JALECO;MODELO CONFIGURADO CLIENTE;P;ITENS POR PEDIDO;;C3993H;62013000;0;9;31;05/07/2023
C3993H.0004;DASS - JALECO MC - DOPTEL E9265 CINZA - AA - PP;C3993H;PC;INDUSTRIA - UNIFORMES;JALECO MC/ ML 300;99;INDUSTRIA AA;JALECO;MODELO CONFIGURADO CLIENTE;PP;ITENS POR PEDIDO;;C3993H;62013000;0;9;31;05/07/2023
C4970B;TECHOCEAN - MACACAO RETARD - CEDROTECH 2063 LARA - AA;C4970B;PC;INDUSTRIA - UNIFORMES;MACACAO ANTI CHAMAS SEM REFLETIVO;99;INDUSTRIA AA;MACACAO;MODELO CONFIGURADO CLIENTE;GG;ITENS POR PEDIDO;;C4970B;62113200;0;9;40;28/07/2023
C4970B.0001;TECHOCEAN - MACACAO RETARD - CEDROTECH 2063 LARA - AA - G;C4970B;PC;INDUSTRIA - UNIFORMES;MACACAO ANTI CHAMAS SEM REFLETIVO;99;RETARDANTE A CHAMAS;MACACAO;MODELO CONFIGURADO CLIENTE;G;ITENS POR PEDIDO;;C4970B;62113200;0;9;40;28/07/2023
C4970B.0002;TECHOCEAN - MACACAO RETARD - CEDROTECH 2063 LARA - AA - GG;C4970B;PC;INDUSTRIA - UNIFORMES;MACACAO ANTI CHAMAS SEM REFLETIVO;99;RETARDANTE A CHAMAS;MACACAO;MODELO CONFIGURADO CLIENTE;GG;ITENS POR PEDIDO;;C4970B;62113200;0;9;40;31/07/2023
C4970B.0003;TECHOCEAN - MACACAO RETARD - CEDROTECH 2063 LARA - AA - M;C4970B;PC;INDUSTRIA - UNIFORMES;MACACAO ANTI CHAMAS SEM REFLETIVO;99;RETARDANTE A CHAMAS;MACACAO;MODELO CONFIGURADO CLIENTE;M;ITENS POR PEDIDO;;C4970B;62113200;0;9;40;31/07/2023
C4970B.0004;TECHOCEAN - MACACAO RETARD - CEDROTECH 2063 LARA - AA - EXGG;C4970B;PC;INDUSTRIA - UNIFORMES;MACACAO ANTI CHAMAS SEM REFLETIVO;99;RETARDANTE A CHAMAS;MACACAO;MODELO CONFIGURADO CLIENTE;EXGG;ITENS POR PEDIDO;;C4970B;62113200;0;9;40;01/08/2023
C4970B.0005;TECHOCEAN - MACACAO RETARD - CEDROTECH 2063 LARA - AA - P;C4970B;PC;INDUSTRIA - UNIFORMES;MACACAO ANTI CHAMAS SEM REFLETIVO;99;RETARDANTE A CHAMAS;MACACAO;MODELO CONFIGURADO CLIENTE;P;ITENS POR PEDIDO;;C4970B;62113200;0;9;40;04/08/2023
C4970B.0006;TECHOCEAN - MACACAO RETARD - CEDROTECH 2063 LARA - AA - XG;C4970B;PC;INDUSTRIA - UNIFORMES;MACACAO ANTI CHAMAS SEM REFLETIVO;99;RETARDANTE A CHAMAS;MACACAO;MODELO CONFIGURADO CLIENTE;XG;ITENS POR PEDIDO;;C4970B;62113200;0;9;40;04/08/2023
C4970B.0007;TECHOCEAN - MACACAO RETARD - CEDROTECH 2063 LARA - AA - XGG;C4970B;PC;INDUSTRIA - UNIFORMES;MACACAO ANTI CHAMAS SEM REFLETIVO;99;RETARDANTE A CHAMAS;MACACAO;MODELO CONFIGURADO CLIENTE;XGG;ITENS POR PEDIDO;;C4970B;62113200;0;9;40;07/08/2023
C4970B.0008;TECHOCEAN - MACACAO RETARD - CEDROTECH 2063 LARA - AA - GGX;C4970B;PC;INDUSTRIA - UNIFORMES;MACACAO ANTI CHAMAS SEM REFLETIVO;99;RETARDANTE A CHAMAS;MACACAO;MODELO CONFIGURADO CLIENTE;GGX;ITENS POR PEDIDO;;C4970B;62113200;0;9;40;07/08/2023
C4970B.0009;TECHOCEAN - MACACAO RETARD - CEDROTECH 2063 LARA - AA - EGXX;C4970B;PC;INDUSTRIA - UNIFORMES;MACACAO ANTI CHAMAS SEM REFLETIVO;99;INDUSTRIA AA;MACACAO;MODELO CONFIGURADO CLIENTE;EGXX;ITENS POR PEDIDO;;C4970B;62113200;0;9;40;08/08/2023
E00479;CALCA ELAST TOTAL - UNIFORTE 1003 AZ CEL - AA;E00479;PC;INDUSTRIA - UNIFORMES;CALCA ELAST TOTAL C CORDAO 107.00;99;INDUSTRIA AA;CALCA;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00479;62034200;0;9;10;27/03/2023
E00480;RANDON - CAMISETA GOLA POLO MC - MALHA PIQUET PA 100 AZUL;E00480;PC;INDUSTRIA - UNIFORMES;CAMISETA GOLA POLO MC/ML 602;99;INDUSTRIA AA;CAMISETA / BABY LOOK;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00480;61091000;0;9;60;27/03/2023
E00480.0006;G - RANDON - CAMISETA GOLA POLO MC - MALHA PIQUET PA 100 AZUL;E00480;PC;INDUSTRIA - UNIFORMES;CAMISETA GOLA POLO MC/ML 602;99;INDUSTRIA AA;CAMISETA / BABY LOOK;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00480;61091000;0;9;60;12/06/2023
E00481;FRAS-LE - CAMISETA GOLA POLO MC - MALHA PIQUET PA 100 AZUL AA;E00481;PC;INDUSTRIA - UNIFORMES;CAMISETA GOLA POLO MC/ML 602;99;INDUSTRIA AA;CAMISETA / BABY LOOK;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00481;61091000;0;9;60;27/03/2023
E00521;FRAS LE - JALECO ML - UNILEVE 1003 AZUL -  AA;E00521;PC;INDUSTRIA - UNIFORMES;JALECO MC/ ML 300;99;INDUSTRIA AA;JALECO;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00521;62013000;0;9;31;27/03/2023
E00522;IMPLEMENTOS - JALECO ML - UNILEVE 1003 AZUL - AA;E00522;PC;INDUSTRIA - UNIFORMES;JALECO MC/ ML 300;99;INDUSTRIA AA;JALECO;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00522;62013000;0;9;31;27/03/2023
E00546;SINDUS - CALCA TECIDO JEANS MEIO ELAS MASC - JEANS BELLATRIX;E00546;PC;INDUSTRIA - UNIFORMES;CALCA JEANS MASC 104.00;99;INDUSTRIA;CALCA;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00546;62034200;0;9;10;10/08/2023
E00547;SINDUS - CALCA RETARD CHAMAS MEIO ELAST - CEDROTECH FR 5228;E00547;PC;INDUSTRIA - UNIFORMES;CALCA ANTI CHAMAS 109.00;99;RETARDANTE A CHAMAS;CALCA NR10;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00547;62034200;0;9;14;10/08/2023
E00548;SINDUS -  CAMISA OPER MASC MC - CEDROMIX 5 OZ 5437 AZUL;E00548;PC;INDUSTRIA - UNIFORMES;CAMISA OPER MC/ML 203;99;SERVICOS / PROMOCIONAIS;CAMISA/CAMISETE OPER E ADM;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00548;62052000;0;9;21;10/08/2023
E00549;SINDUS - CAMISA OPER ML - CEDROMIX 5 OZ 5437 AZUL;E00549;PC;INDUSTRIA - UNIFORMES;CAMISA OPER MC/ML 203;99;SERVICOS / PROMOCIONAIS;CAMISA/CAMISETE OPER E ADM;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00549;62052000;0;9;21;10/08/2023
E00551;SINDUS - CAMISA SOCIAL OPER ML - JEANS CAMIS COLIN AZ  VICUNHA;E00551;PC;INDUSTRIA - UNIFORMES;CAMISA ABERTA MC/ML 200;99;INDUSTRIA AA;CAMISA;MODELO CONFIGURADO CLIENTE;4;ITENS POR ESTOQUE;;E00551;62052000;0;9;20;10/08/2023
E00552;SINDUS -  CAMISETA GOLA POLO MC - PIQUET PA 130 MARINHO;E00552;PC;INDUSTRIA - UNIFORMES;CAMISETA GOLA POLO MC/ML 602;99;INDUSTRIA;CAMISETA / BABY LOOK;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00552;61091000;0;9;60;10/08/2023
E00685;RANDON - CAMISETA GOLA RED MC - MALHA ALG 30-1CARD 101 AZ CEU;E00685;PC;INDUSTRIA - UNIFORMES;CAMISETA  GOLA RED MC / ML 600;99;INDUSTRIA;CAMISETA / BABY LOOK;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00685;61091000;0;9;60;27/03/2023
E00686;FRAS-LE - CAMISETA GOLA RED MC - MALHA ALG 30-1CARD 101 AZ CEU;E00686;PC;INDUSTRIA - UNIFORMES;CAMISETA  GOLA RED MC / ML 600;99;INDUSTRIA;CAMISETA / BABY LOOK;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00686;61091000;0;9;60;27/03/2023
E00687;RANDON - JALECO ML - UNISOFT 1414 AZ ROYAL;E00687;PC;INDUSTRIA - UNIFORMES;GUARDA PO  3-4 MC/ML 301;99;GUARDA PO 301;GUARDA - PO;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00687;62013000;0;9;30;31/05/2023
E00688;SUSPENSYS - CAMISETA GOLA RED MC - MALHA ALG 30-1CARD 101 AZ;E00688;PC;INDUSTRIA - UNIFORMES;CAMISETA  GOLA RED MC / ML 600;99;INDUSTRIA;CAMISETA / BABY LOOK;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00688;61091000;0;9;60;31/05/2023
